Index,File Number,Page,Tables
1,135347,1,0
1,135347,2,0
1,135347,3,0
1,135347,4,0
1,135347,5,1
1,135347,6,0
1,135347,7,0
1,135347,8,1
1,135347,9,0
1,135347,10,0
1,135347,11,0
1,135347,12,0
1,135347,13,0
1,135347,14,0
1,135347,15,0
1,135347,16,0
1,135347,17,0
1,135347,18,0
2,134934,1,0
2,134934,2,0
2,134934,3,0
2,134934,4,2
2,134934,5,0
2,134934,6,0
2,134934,7,1
2,134934,8,0
2,134934,9,0
2,134934,10,0
2,134934,11,1
2,134934,12,1
2,134934,13,1
2,134934,14,0
2,134934,15,0
2,134934,16,0
3,132577,1,0
3,132577,2,0
3,132577,3,0
3,132577,4,0
3,132577,5,1
3,132577,6,1
3,132577,7,0
3,132577,8,0
3,132577,9,0
3,132577,10,0
3,132577,11,0
3,132577,12,0
3,132577,13,1
3,132577,14,0
3,132577,15,0
3,132577,16,0
4,132302,1,0
4,132302,2,0
4,132302,3,0
4,132302,4,0
4,132302,5,1
4,132302,6,0
4,132302,7,0
4,132302,8,0
4,132302,9,0
4,132302,10,1
4,132302,11,0
4,132302,12,0
4,132302,13,0
4,132302,14,0
4,132302,15,0
4,132302,16,0
4,132302,17,0
4,132302,18,0
4,132302,19,0
4,132302,20,0
4,132302,21,1
4,132302,22,2
4,132302,23,0
4,132302,24,0
4,132302,25,0
4,132302,26,0
4,132302,27,1
4,132302,28,2
4,132302,29,1
4,132302,30,0
4,132302,31,2
4,132302,32,1
4,132302,33,1
4,132302,34,0
4,132302,35,0
4,132302,36,0
4,132302,37,0
4,132302,38,0
4,132302,39,0
4,132302,40,0
4,132302,41,0
4,132302,42,0
4,132302,43,0
4,132302,44,0
4,132302,45,0
4,132302,46,0
4,132302,47,0
4,132302,48,0
4,132302,49,0
4,132302,50,0
4,132302,51,0
4,132302,52,0
4,132302,53,0
5,132241,1,0
5,132241,2,0
5,132241,3,0
5,132241,4,3
5,132241,5,0
5,132241,6,0
5,132241,7,2
5,132241,8,0
5,132241,9,0
5,132241,10,1
5,132241,11,0
5,132241,12,0
5,132241,13,1
5,132241,14,0
5,132241,15,0
5,132241,16,0
5,132241,17,0
5,132241,18,0
5,132241,19,0
5,132241,20,1
5,132241,21,1
5,132241,22,2
5,132241,23,0
5,132241,24,0
5,132241,25,0
5,132241,26,0
5,132241,27,0
6,130135,1,0
6,130135,2,0
6,130135,3,0
6,130135,4,1
6,130135,5,1
6,130135,6,0
6,130135,7,0
6,130135,8,0
6,130135,9,0
6,130135,10,0
6,130135,11,0
6,130135,12,1
6,130135,13,0
6,130135,14,0
6,130135,15,0
6,130135,16,1
6,130135,17,0
6,130135,18,0
6,130135,19,2
6,130135,20,0
7,129866,1,0
7,129866,2,0
7,129866,3,0
7,129866,4,1
7,129866,5,0
7,129866,6,0
7,129866,7,2
7,129866,8,0
7,129866,9,0
7,129866,10,0
7,129866,11,0
7,129866,12,0
7,129866,13,1
7,129866,14,0
7,129866,15,1
7,129866,16,1
7,129866,17,1
7,129866,18,2
7,129866,19,0
7,129866,20,0
7,129866,21,0
7,129866,22,0
7,129866,23,0
7,129866,24,0
8,127535,1,0
8,127535,2,0
8,127535,3,0
8,127535,4,1
8,127535,5,1
8,127535,6,0
8,127535,7,0
8,127535,8,0
8,127535,9,0
8,127535,10,0
8,127535,11,0
8,127535,12,0
8,127535,13,1
8,127535,14,0
8,127535,15,1
8,127535,16,0
8,127535,17,0
8,127535,18,0
8,127535,19,0
8,127535,20,0
8,127535,21,2
8,127535,22,0
8,127535,23,0
8,127535,24,0
8,127535,25,0
8,127535,26,0
8,127535,27,0
8,127535,28,0
9,115109,1,0
9,115109,2,0
9,115109,3,0
9,115109,4,0
9,115109,5,0
9,115109,6,0
9,115109,7,2
9,115109,8,0
9,115109,9,0
9,115109,10,0
9,115109,11,0
9,115109,12,0
9,115109,13,0
9,115109,14,0
9,115109,15,0
9,115109,16,0
9,115109,17,0
9,115109,18,0
10,114824,1,0
10,114824,2,0
10,114824,3,0
10,114824,4,2
10,114824,5,0
10,114824,6,0
10,114824,7,1
10,114824,8,1
10,114824,9,0
10,114824,10,0
10,114824,11,0
10,114824,12,0
10,114824,13,0
11,114158,1,0
11,114158,2,0
11,114158,3,1
11,114158,4,0
11,114158,5,0
11,114158,6,1
11,114158,7,0
11,114158,8,0
11,114158,9,0
11,114158,10,0
11,114158,11,0
11,114158,12,0
11,114158,13,0
11,114158,14,2
11,114158,15,0
11,114158,16,1
11,114158,17,0
11,114158,18,1
11,114158,19,0
11,114158,20,0
12,112761,1,0
12,112761,2,0
12,112761,3,0
12,112761,4,0
12,112761,5,0
12,112761,6,0
12,112761,7,1
12,112761,8,0
12,112761,9,0
12,112761,10,0
12,112761,11,0
12,112761,12,0
12,112761,13,0
12,112761,14,0
12,112761,15,0
12,112761,16,0
12,112761,17,1
13,112697,1,0
13,112697,2,0
13,112697,3,0
13,112697,4,0
13,112697,5,0
13,112697,6,0
13,112697,7,0
13,112697,8,2
13,112697,9,0
13,112697,10,0
13,112697,11,0
13,112697,12,1
13,112697,13,0
13,112697,14,0
13,112697,15,0
13,112697,16,0
13,112697,17,1
13,112697,18,1
13,112697,19,1
13,112697,20,0
13,112697,21,1
13,112697,22,0
13,112697,23,0
13,112697,24,0
14,112540,1,0
14,112540,2,0
14,112540,3,0
14,112540,4,0
14,112540,5,0
14,112540,6,0
14,112540,7,2
14,112540,8,1
14,112540,9,0
14,112540,10,0
14,112540,11,0
14,112540,12,0
14,112540,13,0
14,112540,14,0
15,112461,1,0
15,112461,2,0
15,112461,3,0
15,112461,4,0
15,112461,5,0
15,112461,6,0
15,112461,7,1
15,112461,8,0
15,112461,9,0
15,112461,10,0
15,112461,11,0
15,112461,12,0
15,112461,13,0
15,112461,14,0
15,112461,15,0
16,108325,1,0
16,108325,2,0
16,108325,3,0
16,108325,4,1
16,108325,5,0
16,108325,6,0
16,108325,7,0
16,108325,8,1
16,108325,9,1
16,108325,10,0
16,108325,11,0
16,108325,12,0
16,108325,13,1
16,108325,14,1
16,108325,15,1
16,108325,16,1
16,108325,17,0
16,108325,18,1
16,108325,19,0
17,108405,1,0
17,108405,2,1
17,108405,3,0
17,108405,4,0
17,108405,5,0
17,108405,6,1
17,108405,7,0
17,108405,8,0
17,108405,9,1
17,108405,10,2
17,108405,11,0
17,108405,12,0
17,108405,13,0
17,108405,14,0
17,108405,15,0
17,108405,16,0
17,108405,17,0
17,108405,18,0
17,108405,19,2
17,108405,20,1
17,108405,21,2
17,108405,22,1
17,108405,23,0
17,108405,24,0
17,108405,25,1
17,108405,26,0
17,108405,27,0
17,108405,28,0
17,108405,29,0
17,108405,30,0
17,108405,31,0
17,108405,32,0
17,108405,33,0
17,108405,34,0
17,108405,35,1
17,108405,36,0
17,108405,37,0
17,108405,38,0
17,108405,39,2
17,108405,40,0
17,108405,41,1
17,108405,42,0
17,108405,43,1
17,108405,44,2
17,108405,45,0
17,108405,46,2
17,108405,47,0
17,108405,48,1
17,108405,49,0
17,108405,50,1
17,108405,51,1
17,108405,52,0
17,108405,53,1
17,108405,54,0
17,108405,55,0
17,108405,56,0
17,108405,57,1
17,108405,58,1
17,108405,59,0
17,108405,60,1
17,108405,61,0
17,108405,62,1
17,108405,63,1
17,108405,64,0
17,108405,65,1
17,108405,66,2
17,108405,67,0
17,108405,68,3
17,108405,69,0
17,108405,70,0
17,108405,71,0
17,108405,72,0
17,108405,73,1
17,108405,74,1
17,108405,75,2
17,108405,76,2
18,108425,1,0
18,108425,2,0
18,108425,3,0
18,108425,4,0
18,108425,5,0
18,108425,6,0
18,108425,7,0
18,108425,8,0
18,108425,9,1
18,108425,10,0
18,108425,11,0
18,108425,12,0
18,108425,13,0
18,108425,14,1
18,108425,15,1
18,108425,16,1
18,108425,17,1
18,108425,18,0
18,108425,19,1
18,108425,20,0
18,108425,21,0
18,108425,22,1
18,108425,23,0
18,108425,24,0
18,108425,25,0
18,108425,26,0
18,108425,27,0
18,108425,28,0
19,109199,1,0
19,109199,2,1
19,109199,3,0
19,109199,4,0
19,109199,5,0
19,109199,6,0
19,109199,7,0
19,109199,8,0
19,109199,9,1
19,109199,10,0
19,109199,11,0
19,109199,12,0
19,109199,13,0
19,109199,14,0
19,109199,15,1
19,109199,16,0
19,109199,17,0
19,109199,18,0
19,109199,19,1
19,109199,20,2
19,109199,21,1
19,109199,22,0
19,109199,23,1
19,109199,24,0
19,109199,25,0
20,109200,1,0
20,109200,2,0
20,109200,3,0
20,109200,4,0
20,109200,5,1
20,109200,6,1
20,109200,7,1
20,109200,8,0
20,109200,9,0
20,109200,10,0
20,109200,11,0
20,109200,12,0
20,109200,13,1
20,109200,14,0
20,109200,15,0
20,109200,16,2
20,109200,17,1
20,109200,18,2
20,109200,19,0
20,109200,20,1
20,109200,21,0
20,109200,22,0
21,110386,1,0
21,110386,2,0
21,110386,3,0
21,110386,4,0
21,110386,5,0
21,110386,6,0
21,110386,7,1
21,110386,8,1
21,110386,9,1
21,110386,10,0
21,110386,11,0
21,110386,12,0
21,110386,13,0
21,110386,14,1
21,110386,15,1
21,110386,16,1
21,110386,17,0
21,110386,18,1
21,110386,19,1
21,110386,20,0
21,110386,21,0
21,110386,22,0
21,110386,23,0
21,110386,24,0
21,110386,25,0
21,110386,26,0
22,112050,1,0
22,112050,2,0
22,112050,3,0
22,112050,4,0
22,112050,5,0
22,112050,6,0
22,112050,7,1
22,112050,8,0
22,112050,9,0
22,112050,10,0
22,112050,11,0
22,112050,12,1
22,112050,13,1
22,112050,14,0
22,112050,15,0
22,112050,16,0
22,112050,17,0
23,112252,1,0
23,112252,2,1
23,112252,3,0
23,112252,4,0
23,112252,5,0
23,112252,6,0
23,112252,7,0
23,112252,8,1
23,112252,9,1
23,112252,10,0
23,112252,11,0
23,112252,12,0
23,112252,13,0
23,112252,14,0
23,112252,15,0
23,112252,16,0
23,112252,17,1
23,112252,18,0
23,112252,19,0
23,112252,20,1
23,112252,21,0
23,112252,22,0
23,112252,23,0
23,112252,24,1
23,112252,25,0
23,112252,26,1
23,112252,27,0
23,112252,28,1
23,112252,29,0
23,112252,30,1
23,112252,31,0
23,112252,32,1
23,112252,33,0
23,112252,34,1
23,112252,35,2
23,112252,36,0
23,112252,37,0
23,112252,38,1
23,112252,39,2
23,112252,40,2
24,112391,1,0
24,112391,2,0
24,112391,3,0
24,112391,4,0
24,112391,5,2
24,112391,6,0
24,112391,7,0
24,112391,8,1
24,112391,9,1
24,112391,10,0
24,112391,11,1
24,112391,12,1
24,112391,13,1
24,112391,14,1
24,112391,15,0
24,112391,16,0
24,112391,17,0
25,112697,1,0
25,112697,2,0
25,112697,3,0
25,112697,4,0
25,112697,5,0
25,112697,6,0
25,112697,7,0
25,112697,8,2
25,112697,9,0
25,112697,10,0
25,112697,11,0
25,112697,12,1
25,112697,13,0
25,112697,14,0
25,112697,15,0
25,112697,16,0
25,112697,17,0
25,112697,18,0
25,112697,19,1
25,112697,20,0
25,112697,21,1
25,112697,22,0
25,112697,23,0
25,112697,24,0
26,114158,1,0
26,114158,2,1
26,114158,3,1
26,114158,4,0
26,114158,5,0
26,114158,6,0
26,114158,7,0
26,114158,8,0
26,114158,9,0
26,114158,10,0
26,114158,11,0
26,114158,12,0
26,114158,13,0
26,114158,14,2
26,114158,15,0
26,114158,16,1
26,114158,17,0
26,114158,18,1
26,114158,19,0
26,114158,20,0
27,115454,1,0
27,115454,2,0
27,115454,3,0
27,115454,4,1
27,115454,5,0
27,115454,6,0
27,115454,7,1
27,115454,8,0
27,115454,9,0
27,115454,10,0
27,115454,11,0
27,115454,12,0
27,115454,13,1
27,115454,14,0
27,115454,15,1
27,115454,16,1
27,115454,17,0
27,115454,18,0
27,115454,19,0
28,117052,1,0
28,117052,2,0
28,117052,3,0
28,117052,4,0
28,117052,5,1
28,117052,6,0
28,117052,7,0
28,117052,8,0
28,117052,9,1
28,117052,10,0
28,117052,11,0
28,117052,12,0
28,117052,13,0
28,117052,14,0
28,117052,15,0
28,117052,16,0
28,117052,17,1
28,117052,18,0
28,117052,19,0
28,117052,20,2
28,117052,21,0
28,117052,22,0
28,117052,23,0
28,117052,24,0
28,117052,25,2
28,117052,26,2
28,117052,27,0
28,117052,28,0
28,117052,29,0
28,117052,30,0
28,117052,31,3
28,117052,32,0
28,117052,33,1
28,117052,34,0
28,117052,35,0
29,117209,1,0
29,117209,2,0
29,117209,3,0
29,117209,4,0
29,117209,5,1
29,117209,6,0
29,117209,7,0
29,117209,8,0
29,117209,9,1
29,117209,10,0
29,117209,11,0
29,117209,12,0
29,117209,13,0
29,117209,14,0
29,117209,15,0
29,117209,16,1
29,117209,17,0
29,117209,18,0
29,117209,19,2
29,117209,20,1
29,117209,21,0
29,117209,22,0
29,117209,23,3
29,117209,24,0
29,117209,25,1
29,117209,26,0
29,117209,27,0
30,119433,1,0
30,119433,2,1
30,119433,3,0
30,119433,4,0
30,119433,5,1
30,119433,6,0
30,119433,7,0
30,119433,8,0
30,119433,9,0
30,119433,10,0
30,119433,11,1
30,119433,12,0
30,119433,13,2
30,119433,14,0
30,119433,15,1
30,119433,16,0
30,119433,17,1
30,119433,18,1
30,119433,19,0
30,119433,20,2
31,125227,1,0
31,125227,2,0
31,125227,3,0
31,125227,4,0
31,125227,5,1
31,125227,6,0
31,125227,7,0
31,125227,8,2
31,125227,9,0
31,125227,10,0
31,125227,11,0
31,125227,12,0
31,125227,13,0
31,125227,14,1
31,125227,15,1
31,125227,16,2
31,125227,17,1
31,125227,18,0
31,125227,19,1
31,125227,20,0
31,125227,21,0
32,127535,1,0
32,127535,2,1
32,127535,3,0
32,127535,4,1
32,127535,5,1
32,127535,6,0
32,127535,7,0
32,127535,8,0
32,127535,9,0
32,127535,10,0
32,127535,11,0
32,127535,12,0
32,127535,13,1
32,127535,14,0
32,127535,15,1
32,127535,16,0
32,127535,17,0
32,127535,18,0
32,127535,19,0
32,127535,20,0
32,127535,21,2
32,127535,22,0
32,127535,23,0
32,127535,24,0
32,127535,25,0
32,127535,26,0
32,127535,27,0
32,127535,28,0
33,129866,1,0
33,129866,2,0
33,129866,3,0
33,129866,4,1
33,129866,5,0
33,129866,6,1
33,129866,7,2
33,129866,8,0
33,129866,9,0
33,129866,10,1
33,129866,11,0
33,129866,12,0
33,129866,13,1
33,129866,14,0
33,129866,15,1
33,129866,16,1
33,129866,17,1
33,129866,18,1
33,129866,19,1
33,129866,20,0
33,129866,21,0
33,129866,22,0
33,129866,23,0
33,129866,24,0
34,130135,1,0
34,130135,2,1
34,130135,3,1
34,130135,4,1
34,130135,5,1
34,130135,6,0
34,130135,7,0
34,130135,8,0
34,130135,9,0
34,130135,10,0
34,130135,11,0
34,130135,12,0
34,130135,13,1
34,130135,14,0
34,130135,15,0
34,130135,16,1
34,130135,17,0
34,130135,18,0
34,130135,19,2
34,130135,20,0
35,132241,1,0
35,132241,2,0
35,132241,3,0
35,132241,4,0
35,132241,5,0
35,132241,6,0
35,132241,7,2
35,132241,8,0
35,132241,9,0
35,132241,10,1
35,132241,11,0
35,132241,12,1
35,132241,13,1
35,132241,14,0
35,132241,15,0
35,132241,16,1
35,132241,17,1
35,132241,18,1
35,132241,19,1
35,132241,20,1
35,132241,21,1
35,132241,22,2
35,132241,23,1
35,132241,24,0
35,132241,25,0
35,132241,26,0
35,132241,27,0
